@relation datos_simplificados

@attribute blueWins {FALSE,TRUE}
@attribute blueFirstBlood {TRUE,FALSE}
@attribute blueKills numeric
@attribute blueDeaths numeric
@attribute blueAssists numeric
@attribute blueDragons {FALSE,TRUE}
@attribute blueHeralds {FALSE,TRUE}
@attribute blueTowersDestroyed numeric
@attribute blueAvgLevel numeric
@attribute blueTotalMinionsKilled numeric
@attribute blueGoldDiff numeric
@attribute blueExperienceDiff numeric
@attribute redFirstBlood {FALSE,TRUE}
@attribute redKills numeric
@attribute redDeaths numeric
@attribute redAssists numeric
@attribute redDragons {FALSE,TRUE}
@attribute redHeralds numeric
@attribute redTowersDestroyed numeric
@attribute redAvgLevel numeric
@attribute redTotalMinionsKilled numeric
@attribute redGoldDiff numeric
@attribute redExperienceDiff numeric

@data
FALSE,TRUE,9,6,11,FALSE,FALSE,0,6.6,195,643,-8,FALSE,6,9,8,FALSE,0,0,6.8,197,-643,8
FALSE,FALSE,5,5,5,FALSE,FALSE,0,6.6,174,-2908,-1173,TRUE,5,5,2,TRUE,1,1,6.8,240,2908,1173
FALSE,FALSE,7,11,4,TRUE,FALSE,0,6.4,186,-1172,-1033,TRUE,11,7,14,FALSE,0,0,6.8,203,1172,1033
FALSE,FALSE,4,5,5,FALSE,TRUE,0,7,201,-1321,-7,TRUE,5,4,10,FALSE,0,0,7,235,1321,7
FALSE,FALSE,6,6,6,FALSE,FALSE,0,7,210,-1004,230,TRUE,6,6,7,TRUE,0,0,7,225,1004,-230
TRUE,FALSE,5,3,6,TRUE,FALSE,0,7,225,698,101,TRUE,3,5,2,FALSE,0,0,7,221,-698,-101
TRUE,TRUE,7,6,7,TRUE,FALSE,0,6.8,225,2411,1563,FALSE,6,7,9,FALSE,0,0,6.4,164,-2411,-1563
FALSE,FALSE,5,13,3,FALSE,FALSE,0,6.4,209,-2615,-800,TRUE,13,5,11,TRUE,0,0,6.6,157,2615,800
FALSE,FALSE,7,7,8,FALSE,FALSE,0,7.2,189,-1979,-771,TRUE,7,7,5,TRUE,1,0,7.2,240,1979,771
TRUE,TRUE,4,5,5,TRUE,FALSE,0,6.8,220,-1548,-1574,FALSE,5,4,4,FALSE,0,0,6.8,247,1548,1574
FALSE,TRUE,4,4,6,FALSE,FALSE,0,6.6,231,331,-1585,FALSE,4,4,5,TRUE,0,0,7.2,216,-331,1585
FALSE,TRUE,11,11,7,FALSE,TRUE,0,7,157,-1505,-635,FALSE,11,11,9,FALSE,0,0,7,188,1505,635
TRUE,TRUE,7,1,11,TRUE,FALSE,0,7.4,238,3274,1659,FALSE,1,7,1,FALSE,0,0,6.8,240,-3274,-1659
FALSE,FALSE,4,9,1,FALSE,TRUE,0,6.6,210,-3414,-1141,TRUE,9,4,11,FALSE,0,0,7.2,229,3414,1141
TRUE,TRUE,4,4,4,FALSE,FALSE,0,6.8,224,-470,-187,FALSE,4,4,3,FALSE,0,0,7,242,470,187
FALSE,FALSE,3,7,3,FALSE,FALSE,0,6.8,209,-1996,-1804,TRUE,7,3,13,FALSE,0,0,7.2,237,1996,1804
TRUE,TRUE,10,2,8,FALSE,FALSE,0,7.6,263,5228,3378,FALSE,2,10,2,TRUE,0,0,6.8,210,-5228,-3378
FALSE,FALSE,3,7,3,FALSE,TRUE,0,6.8,203,-1975,-1345,TRUE,7,3,6,FALSE,0,0,6.8,218,1975,1345
TRUE,TRUE,5,4,11,FALSE,FALSE,0,6.8,213,882,512,FALSE,4,5,3,TRUE,1,0,6.6,228,-882,-512
FALSE,FALSE,5,9,5,FALSE,FALSE,0,7,188,-3155,-2773,TRUE,9,5,9,FALSE,0,0,7.4,219,3155,2773
TRUE,TRUE,11,6,15,TRUE,FALSE,0,7.2,214,2526,1625,FALSE,6,11,4,FALSE,0,0,7,225,-2526,-1625
FALSE,FALSE,4,13,5,FALSE,FALSE,0,6.8,203,-2835,-2821,TRUE,13,4,14,TRUE,0,0,7.2,209,2835,2821
FALSE,FALSE,4,6,3,FALSE,FALSE,0,7,238,-1254,-567,TRUE,6,4,10,TRUE,0,0,7,231,1254,567
FALSE,FALSE,4,3,4,TRUE,TRUE,0,6.8,238,406,1283,TRUE,3,4,3,FALSE,0,0,7,220,-406,-1283
TRUE,FALSE,6,9,10,FALSE,FALSE,0,6.8,208,-1020,493,TRUE,9,6,13,FALSE,0,0,6.6,197,1020,-493
FALSE,FALSE,4,8,4,FALSE,FALSE,0,6.2,204,-2472,-1067,TRUE,8,4,13,TRUE,0,0,7,221,2472,1067
TRUE,FALSE,8,6,9,TRUE,FALSE,0,7,209,1260,-55,TRUE,6,8,3,FALSE,0,0,6.8,233,-1260,55
FALSE,TRUE,7,4,9,FALSE,FALSE,0,7,228,1857,2015,FALSE,4,7,2,TRUE,0,0,6.6,202,-1857,-2015
FALSE,TRUE,8,6,13,TRUE,FALSE,0,6.8,217,1320,-413,FALSE,6,8,11,FALSE,0,0,6.8,223,-1320,413
FALSE,FALSE,3,8,2,TRUE,FALSE,0,6.8,233,-3282,-1647,TRUE,8,3,12,FALSE,0,0,7.4,225,3282,1647
TRUE,TRUE,9,4,10,TRUE,FALSE,0,7,228,2883,2111,FALSE,4,9,2,FALSE,0,0,6.2,227,-2883,-2111
TRUE,TRUE,5,2,6,TRUE,TRUE,0,6.8,218,1703,1696,FALSE,2,5,2,FALSE,0,0,6.4,206,-1703,-1696
FALSE,FALSE,6,4,7,FALSE,FALSE,0,6.8,203,608,-85,TRUE,4,6,4,TRUE,0,0,6.8,206,-608,85
FALSE,TRUE,5,4,4,FALSE,FALSE,0,6.8,201,71,-359,FALSE,4,5,4,TRUE,0,0,6.8,222,-71,359
TRUE,FALSE,6,4,4,FALSE,FALSE,0,7.4,204,275,872,TRUE,4,6,5,TRUE,0,0,7.2,223,-275,-872
