blueWins,blueFirstBlood,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueGoldDiff,blueCSPerMin,redFirstBlood,redEliteMonsters,redDragons,redTotalGold,redTotalExperience,redGoldDiff,redCSPerMin
FALSE,TRUE,0,FALSE,17210,17039,643,19.5,FALSE,0,FALSE,16567,17047,-643,19.7
FALSE,FALSE,0,FALSE,14712,16265,-2908,17.4,TRUE,2,TRUE,17620,17438,2908,24
FALSE,FALSE,1,TRUE,16113,16221,-1172,18.6,TRUE,0,FALSE,17285,17254,1172,20.3
FALSE,FALSE,1,FALSE,15157,17954,-1321,20.1,TRUE,0,FALSE,16478,17961,1321,23.5
FALSE,FALSE,0,FALSE,16400,18543,-1004,21,TRUE,1,TRUE,17404,18313,1004,22.5
TRUE,FALSE,1,TRUE,15899,18161,698,22.5,TRUE,0,FALSE,15201,18060,-698,22.1
TRUE,TRUE,1,TRUE,16874,16967,2411,22.5,FALSE,0,FALSE,14463,15404,-2411,16.4
FALSE,FALSE,0,FALSE,15305,16138,-2615,20.9,TRUE,1,TRUE,17920,16938,2615,15.7
FALSE,FALSE,0,FALSE,16401,18527,-1979,18.9,TRUE,2,TRUE,18380,19298,1979,24
TRUE,TRUE,1,TRUE,15057,16805,-1548,22,FALSE,0,FALSE,16605,18379,1548,24.7
FALSE,TRUE,0,FALSE,15474,16611,331,23.1,FALSE,1,TRUE,15143,18196,-331,21.6
FALSE,TRUE,1,FALSE,16695,18507,-1505,15.7,FALSE,0,FALSE,18200,19142,1505,18.8
TRUE,TRUE,1,TRUE,17865,19102,3274,23.8,FALSE,0,FALSE,14591,17443,-3274,24
FALSE,FALSE,1,FALSE,14979,17213,-3414,21,TRUE,0,FALSE,18393,18354,3414,22.9
TRUE,TRUE,0,FALSE,15722,17896,-470,22.4,FALSE,0,FALSE,16192,18083,470,24.2
FALSE,FALSE,0,FALSE,15015,16974,-1996,20.9,TRUE,0,FALSE,17011,18778,1996,23.7
TRUE,TRUE,0,FALSE,19733,20862,5228,26.3,FALSE,1,TRUE,14505,17484,-5228,21
FALSE,FALSE,1,FALSE,14852,16888,-1975,20.3,TRUE,0,FALSE,16827,18233,1975,21.8
TRUE,TRUE,0,FALSE,16282,17378,882,21.3,FALSE,2,TRUE,15400,16866,-882,22.8
FALSE,FALSE,0,FALSE,14994,17924,-3155,18.8,TRUE,0,FALSE,18149,20697,3155,21.9
TRUE,TRUE,1,TRUE,18606,19254,2526,21.4,FALSE,0,FALSE,16080,17629,-2526,22.5
FALSE,FALSE,0,FALSE,15878,16945,-2835,20.3,TRUE,1,TRUE,18713,19766,2835,20.9
FALSE,FALSE,0,FALSE,15773,17562,-1254,23.8,TRUE,1,TRUE,17027,18129,1254,23.1
FALSE,FALSE,2,TRUE,15906,19219,406,23.8,TRUE,0,FALSE,15500,17936,-406,22
TRUE,FALSE,0,FALSE,16515,17223,-1020,20.8,TRUE,0,FALSE,17535,16730,1020,19.7
FALSE,FALSE,0,FALSE,15415,16047,-2472,20.4,TRUE,1,TRUE,17887,17114,2472,22.1
TRUE,FALSE,1,TRUE,17178,17854,1260,20.9,TRUE,0,FALSE,15918,17909,-1260,23.3
FALSE,TRUE,0,FALSE,17226,18982,1857,22.8,FALSE,1,TRUE,15369,16967,-1857,20.2
FALSE,TRUE,1,TRUE,17474,17436,1320,21.7,FALSE,0,FALSE,16154,17849,-1320,22.3
FALSE,FALSE,1,TRUE,14905,17974,-3282,23.3,TRUE,0,FALSE,18187,19621,3282,22.5
TRUE,TRUE,1,TRUE,18132,18076,2883,22.8,FALSE,0,FALSE,15249,15965,-2883,22.7
TRUE,TRUE,2,TRUE,16053,17406,1703,21.8,FALSE,0,FALSE,14350,15710,-1703,20.6
FALSE,FALSE,0,FALSE,16438,16989,608,20.3,TRUE,1,TRUE,15830,17074,-608,20.6
FALSE,TRUE,0,FALSE,15634,16355,71,20.1,FALSE,1,TRUE,15563,16714,-71,22.2
TRUE,FALSE,0,FALSE,16085,19076,275,20.4,TRUE,1,TRUE,15810,18204,-275,22.3
FALSE,FALSE,0,FALSE,14981,17082,-809,23.5,TRUE,2,TRUE,15790,16444,809,21.8
FALSE,FALSE,1,TRUE,15421,19276,-2771,21.7,TRUE,0,FALSE,18192,20401,2771,23.4
FALSE,TRUE,1,FALSE,15665,17716,-1730,20.3,FALSE,1,TRUE,17395,18952,1730,21.4
FALSE,FALSE,1,FALSE,17528,19609,-904,23.4,TRUE,1,TRUE,18432,18232,904,22.7
FALSE,FALSE,1,FALSE,15032,16832,-1683,21.3,TRUE,1,TRUE,16715,18195,1683,23.6
FALSE,FALSE,0,FALSE,15483,17362,-3025,22.2,TRUE,1,TRUE,18508,19195,3025,21.3
TRUE,FALSE,0,FALSE,19226,20118,3004,23.1,TRUE,0,FALSE,16222,17818,-3004,18.5
TRUE,FALSE,1,TRUE,16945,17806,1574,20.4,TRUE,0,FALSE,15371,17045,-1574,19.4
TRUE,TRUE,0,FALSE,15000,16493,-1036,23.3,FALSE,0,FALSE,16036,17916,1036,22.1
FALSE,TRUE,1,FALSE,15888,19090,16,25.2,FALSE,1,TRUE,15872,18657,-16,24.3
FALSE,FALSE,0,FALSE,12925,15498,-6386,18.7,TRUE,1,FALSE,19311,19708,6386,24.7
TRUE,TRUE,0,FALSE,19250,19703,5096,25.1,FALSE,0,FALSE,14154,16393,-5096,19.6
TRUE,TRUE,1,TRUE,18355,18790,2756,21.8,FALSE,0,FALSE,15599,17107,-2756,20
TRUE,FALSE,1,FALSE,13978,16429,-977,18,TRUE,0,FALSE,14955,17454,977,21.8
FALSE,FALSE,0,FALSE,15851,17366,-808,20.6,TRUE,0,FALSE,16659,19021,808,24.1
FALSE,FALSE,0,FALSE,16474,17408,-1559,20.9,TRUE,1,TRUE,18033,17815,1559,20.6
TRUE,FALSE,0,FALSE,16590,18284,544,21.3,TRUE,0,FALSE,16046,18209,-544,18.2
TRUE,TRUE,2,TRUE,15737,18634,1381,21.7,FALSE,0,FALSE,14356,17617,-1381,21.2
TRUE,TRUE,0,FALSE,16990,19634,2031,24.8,FALSE,1,TRUE,14959,18185,-2031,21
FALSE,FALSE,1,TRUE,15297,19210,131,24.6,TRUE,0,FALSE,15166,18840,-131,22.7
FALSE,FALSE,1,FALSE,15651,17696,-2699,22.4,TRUE,1,TRUE,18350,20445,2699,20.1
FALSE,TRUE,1,TRUE,15587,16746,-1672,18.1,FALSE,0,FALSE,17259,19444,1672,21.8
TRUE,TRUE,1,TRUE,17777,18131,1201,21.3,FALSE,0,FALSE,16576,17815,-1201,23.4
TRUE,TRUE,2,TRUE,16426,18407,-108,22.2,FALSE,0,FALSE,16534,18348,108,24.7
FALSE,FALSE,0,FALSE,20278,19575,4633,23.6,TRUE,1,TRUE,15645,17306,-4633,18.2
FALSE,FALSE,0,FALSE,13791,16437,-2262,19.1,TRUE,1,TRUE,16053,17828,2262,21.8
FALSE,FALSE,0,FALSE,16505,17667,-49,20.8,TRUE,1,TRUE,16554,17167,49,20.7
TRUE,TRUE,1,TRUE,17277,19610,1687,22.9,FALSE,1,FALSE,15590,18521,-1687,23.2
TRUE,TRUE,2,TRUE,18269,19659,3933,22.9,FALSE,0,FALSE,14336,16737,-3933,23.3
FALSE,FALSE,1,TRUE,14166,15959,-4061,20.3,TRUE,0,FALSE,18227,20356,4061,22.4
FALSE,FALSE,0,FALSE,15456,16280,-4920,18.8,TRUE,1,FALSE,20376,19560,4920,24
FALSE,FALSE,0,FALSE,15180,17773,-1705,21,TRUE,0,FALSE,16885,19612,1705,22.7
FALSE,TRUE,1,TRUE,16179,16814,105,21.2,FALSE,1,FALSE,16074,18361,-105,20
TRUE,FALSE,0,FALSE,16026,18490,-554,23.3,TRUE,1,TRUE,16580,17969,554,23.4
FALSE,TRUE,0,FALSE,14850,17145,-1037,19.8,FALSE,1,TRUE,15887,18722,1037,24.1
FALSE,TRUE,1,FALSE,17347,18573,-1144,20.2,FALSE,1,TRUE,18491,18093,1144,19.9
TRUE,TRUE,0,FALSE,15887,17591,1173,20,FALSE,1,TRUE,14714,16638,-1173,18.6
FALSE,TRUE,0,FALSE,17399,19449,3194,23.2,FALSE,1,TRUE,14205,16915,-3194,20.8
FALSE,TRUE,1,TRUE,13828,16629,-2622,20.4,FALSE,0,FALSE,16450,17765,2622,19.2
